"user_id","visit_date","path"
1,2018-12-23,"example.com/pricing"
1,2018-12-26,"example.com"
1,2018-12-26,"example.com/features"
2,2018-09-29,"example.com/features"
2,2018-10-01,"example.com"
2,2018-10-03,"example.com/pricing"
3,2019-01-17,"example.com/features"
3,2019-01-20,"example.com"
3,2019-01-21,"example.com"
3,2019-01-22,"example.com"
4,2018-05-19,"example.com/pricing"
5,2018-04-06,"example.com/features"
6,2018-04-24,"example.com"
6,2018-04-27,"example.com/features"
6,2018-05-01,"example.com"
7,2018-07-25,"example.com/features"
8,2018-04-25,"example.com/pricing"
8,2018-04-28,"example.com/features"
9,2018-11-26,"example.com"
10,2018-07-26,"example.com/features"
11,2018-11-03,"example.com"
11,2018-11-10,"example.com"
12,2018-10-25,"example.com/features"
13,2018-12-31,"example.com"
13,2019-01-08,"example.com/pricing"
15,2018-06-01,"example.com"
15,2018-06-03,"example.com/features"
17,2018-09-29,"example.com"
18,2019-01-04,"example.com/pricing"
20,2018-10-17,"example.com/pricing"
20,2018-10-19,"example.com"
20,2018-10-28,"example.com"
21,2018-10-23,"example.com"
21,2018-10-31,"example.com"
21,2018-11-01,"example.com"
22,2018-08-15,"example.com"
22,2018-08-20,"example.com"
23,2018-04-11,"example.com"
23,2018-04-15,"example.com/features"
24,2018-05-16,"example.com/features"
24,2018-05-17,"example.com"
24,2018-05-21,"example.com"
24,2018-05-21,"example.com/features"
24,2018-05-27,"example.com/pricing"
25,2019-01-16,"example.com/pricing"
25,2019-01-18,"example.com"
26,2018-12-31,"example.com/features"
27,2018-07-04,"example.com"
27,2018-07-09,"example.com"
28,2018-10-12,"example.com/pricing"
28,2018-10-16,"example.com"
30,2019-01-06,"example.com"
31,2018-09-14,"example.com"
31,2018-09-17,"example.com/pricing"
32,2018-06-19,"example.com"
32,2018-06-26,"example.com"
32,2018-06-27,"example.com/pricing"
33,2018-07-24,"example.com/pricing"
33,2018-07-30,"example.com/features"
33,2018-07-31,"example.com/features"
34,2018-09-25,"example.com/pricing"
34,2018-09-30,"example.com/pricing"
35,2018-05-18,"example.com/features"
36,2018-07-14,"example.com/features"
38,2018-04-14,"example.com/pricing"
38,2018-04-17,"example.com"
38,2018-04-19,"example.com"
39,2018-07-06,"example.com"
39,2018-07-09,"example.com/pricing"
40,2018-08-22,"example.com/features"
40,2018-08-28,"example.com"
42,2018-11-12,"example.com/features"
42,2018-11-18,"example.com"
45,2018-04-22,"example.com"
45,2018-04-23,"example.com/pricing"
47,2018-06-21,"example.com/features"
47,2018-06-24,"example.com"
47,2018-06-27,"example.com/pricing"
48,2018-11-14,"example.com/pricing"
49,2018-04-17,"example.com"
50,2018-07-05,"example.com"
50,2018-07-10,"example.com"
50,2018-07-11,"example.com"
51,2018-11-04,"example.com"
51,2018-11-07,"example.com/features"
51,2018-11-09,"example.com"
52,2018-10-06,"example.com"
52,2018-10-08,"example.com"
52,2018-10-16,"example.com"
53,2018-05-23,"example.com/pricing"
53,2018-05-30,"example.com/pricing"
55,2018-06-18,"example.com"
55,2018-06-22,"example.com"
55,2018-06-23,"example.com/features"
56,2018-12-22,"example.com/pricing"
56,2018-12-28,"example.com"
57,2018-08-14,"example.com/pricing"
58,2018-04-21,"example.com/features"
59,2018-06-02,"example.com"
60,2018-12-19,"example.com/features"
60,2018-12-25,"example.com"
61,2018-06-25,"example.com/features"
62,2018-08-09,"example.com"
62,2018-08-16,"example.com/pricing"
63,2018-06-19,"example.com"
63,2018-06-23,"example.com"
64,2018-08-05,"example.com/pricing"
64,2018-08-07,"example.com"
65,2018-08-15,"example.com/features"
67,2018-08-13,"example.com"
68,2018-09-16,"example.com/features"
68,2018-09-20,"example.com/features"
68,2018-09-23,"example.com/pricing"
69,2018-12-14,"example.com/features"
70,2018-10-30,"example.com"
70,2018-11-03,"example.com"
71,2018-09-28,"example.com/features"
71,2018-10-02,"example.com"
